Cor,Placa,Marca,Ano,Kilometragem,Valor,Modelo,Categoria
Preto,2Q-2788,Mitsubishi,1996,12726.0,603134.0,Urus,Sedan
Preto,3L-5920,Toyota,2019,230436.0,586690.0,California T,Super Esportivo
Azul,9H-2215,Chevrolet,1997,62299.0,200279.0,Renegade,SUV
Vermelho,9N-5377,Chevrolet,2011,102618.0,480449.0,Creta,Sedan
Verde,2Q-9867,Mitsubishi,2015,96908.0,243636.0,Tucson,Super Esportivo
Verde,5M-7029,Toyota,1990,268553.0,687033.0,458 Speciale,Pick-up
Branco,3I-2170,Chevrolet,2012,128850.0,460815.0,Onix,Sedan
Branco,5B-8306,Honda,2020,168073.0,599052.0,488 Pista,Pick-up
Vermelho,7V-3860,Ferrari,2014,162822.0,675433.0,Onix,Pick-up
Verde,5B-3749,Honda,2001,259621.0,64629.0,Fusion,SUV
Branco,4V-6548,Lamborghini,1990,81367.0,671614.0,Palio,Super Esportivo
Verde,1Y-6389,Ford,2012,143889.0,880834.0,C4 Cactus,Hatch
Azul,2B-6293,Chevrolet,2003,283281.0,752253.0,Ranger,Esportivo
Branco,6C-7346,Ferrari,2000,182681.0,108557.0,F12 Berlinetta,Super Esportivo
Verde,3L-6953,Honda,1997,149710.0,573511.0,Voyage,Pick-up
Verde,8H-6394,Ferrari,2006,1606.0,772255.0,Fiesta Sedan,Pick-up
Azul,4L-2173,Ferrari,1996,252201.0,790824.0,488 GTB,SUV
Verde,3P-6464,Chevrolet,2015,185268.0,183841.0,Ranger,Hatch
Vermelho,1Z-2218,Lamborghini,2008,11676.0,718746.0,LaFerrari,Sedan
Branco,6W-8454,Chevrolet,1992,88374.0,906059.0,Compass,Sedan
Branco,5N-1414,Honda,1997,120982.0,696575.0,Ranger,Hatch
Vermelho,9O-1149,Ferrari,1993,179299.0,396367.0,Huracan,Esportivo
Preto,1Z-1448,Lamborghini,1990,242433.0,348122.0,Renegade,Super Esportivo
Azul,8J-7810,Toyota,2008,202921.0,458868.0,Aventador SVJ,SUV
Vermelho,4G-5043,Toyota,1995,146990.0,951242.0,Eclipse GT,Super Esportivo
Verde,3R-9707,Chevrolet,2000,14925.0,367173.0,Eclipse GT,Esportivo
Vermelho,8L-8533,Chevrolet,1994,38907.0,762496.0,812 Superfast,Esportivo
Vermelho,9J-4233,Lamborghini,2022,279992.0,551529.0,Strada,Hatch
Verde,1D-5942,Toyota,2009,46146.0,485675.0,458 Speciale,Sedan
Vermelho,7C-5514,Toyota,2003,141707.0,255565.0,Portofino,SUV
Vermelho,8O-4145,Ferrari,2018,109030.0,140137.0,Compass,SUV
Vermelho,7F-2437,Toyota,2004,215779.0,870323.0,S10,Super Esportivo
Verde,8L-9677,Toyota,2007,23467.0,28104.0,Urus,Esportivo
Vermelho,5U-1512,Chevrolet,1992,289297.0,999832.0,Cruze,Super Esportivo
Vermelho,1I-4472,Honda,2011,159562.0,590600.0,Polo,Pick-up
Verde,3V-4993,Mitsubishi,2016,70079.0,352221.0,F12 Berlinetta,Super Esportivo
Preto,4J-7004,Toyota,2013,205106.0,791153.0,A3,Esportivo
Vermelho,1I-3543,Mitsubishi,1994,248668.0,375393.0,Essenza SCV12,Hatch
Branco,5Q-5776,Chevrolet,2003,161113.0,373215.0,Onix,Esportivo
Vermelho,4V-3203,Toyota,1997,212019.0,237231.0,F8 Tributo,Pick-up
Preto,8N-3939,Honda,2004,285967.0,530548.0,Gallardo,SUV
Azul,9N-8211,Toyota,2015,228594.0,925669.0,Strada,Pick-up
Verde,1K-5138,Toyota,1991,195942.0,75607.0,Uno,Esportivo
Vermelho,1N-1474,Ferrari,2015,150368.0,386322.0,Strada,Super Esportivo
Azul,3H-9116,Ford,1990,294262.0,739784.0,Compass,Pick-up
Vermelho,1E-8660,Mitsubishi,2003,237858.0,351917.0,F430,Super Esportivo
Preto,3A-6157,Honda,2019,142669.0,615339.0,458 Speciale,SUV
Azul,5O-9403,Chevrolet,2009,16583.0,930490.0,Focus,Sedan
Branco,8P-1151,Lamborghini,1991,163255.0,956054.0,Portofino,Sedan
Verde,2J-5602,Ford,2000,169030.0,310355.0,California T,Hatch
Branco,6B-3652,Mitsubishi,2011,69649.0,838625.0,Corolla,Esportivo
Preto,8I-3749,Toyota,1991,198068.0,648913.0,488 Pista,SUV
Preto,4W-2338,Lamborghini,2018,212535.0,267852.0,Voyage,Pick-up
Vermelho,4J-4180,Mitsubishi,2008,44491.0,937375.0,Polo,Pick-up
Preto,8F-6978,Toyota,2013,271715.0,607392.0,488 Pista,Pick-up
Verde,6G-3657,Chevrolet,2008,4008.0,708895.0,Aventador,Sedan
Vermelho,7Y-5013,Ferrari,1992,71344.0,814405.0,Aventador,SUV
Vermelho,2E-6286,Mitsubishi,2001,118214.0,694241.0,Corolla,Hatch
